case_id,activity_name,timestamp
0001,a,2024-08-24 13:47:11.303896
0002,a,2024-08-25 13:47:11.303896
0003,a,2024-08-26 13:47:11.303896
0004,a,2024-08-27 13:47:11.303896
0005,a,2024-08-28 13:47:11.303896
0006,a,2024-08-29 13:47:11.303896
0007,a,2024-08-30 13:47:11.303896
0008,a,2024-08-31 13:47:11.303896
0009,a,2024-09-01 13:47:11.303896
0010,a,2024-09-02 13:47:11.303896
0011,a,2024-09-03 13:47:11.303896
0011,b,2024-09-03 13:47:11.303896
0012,a,2024-09-04 13:47:11.303896
0012,b,2024-09-04 13:47:11.303896
0013,a,2024-09-05 13:47:11.303896
0013,b,2024-09-05 13:47:11.303896
0014,a,2024-09-06 13:47:11.303896
0014,b,2024-09-06 13:47:11.303896
0015,a,2024-09-07 13:47:11.303896
0015,b,2024-09-07 13:47:11.303896
0016,a,2024-09-08 13:47:11.303896
0016,b,2024-09-08 13:47:11.303896
0017,a,2024-09-09 13:47:11.303896
0017,b,2024-09-09 13:47:11.303896
0018,a,2024-09-10 13:47:11.303896
0018,b,2024-09-10 13:47:11.303896
0019,a,2024-09-11 13:47:11.303896
0019,c,2024-09-11 13:47:11.303896
0019,b,2024-09-11 13:47:11.303896
0020,a,2024-09-12 13:47:11.303896
0020,c,2024-09-12 13:47:11.303896
0020,b,2024-09-12 13:47:11.303896
0021,a,2024-09-13 13:47:11.303896
0021,c,2024-09-13 13:47:11.303896
0021,b,2024-09-13 13:47:11.303896
0022,a,2024-09-14 13:47:11.303896
0022,c,2024-09-14 13:47:11.303896
0022,b,2024-09-14 13:47:11.303896
0023,a,2024-09-15 13:47:11.303896
0023,c,2024-09-15 13:47:11.303896
0023,b,2024-09-15 13:47:11.303896
0024,a,2024-09-16 13:47:11.303896
0024,c,2024-09-16 13:47:11.303896
0024,b,2024-09-16 13:47:11.303896
0025,a,2024-09-17 13:47:11.303896
0025,c,2024-09-17 13:47:11.303896
0025,c,2024-09-17 13:47:11.303896
0025,b,2024-09-17 13:47:11.303896
0026,a,2024-09-18 13:47:11.303896
0026,c,2024-09-18 13:47:11.303896
0026,c,2024-09-18 13:47:11.303896
0026,b,2024-09-18 13:47:11.303896
0027,a,2024-09-19 13:47:11.303896
0027,c,2024-09-19 13:47:11.303896
0027,c,2024-09-19 13:47:11.303896
0027,b,2024-09-19 13:47:11.303896
0028,a,2024-09-20 13:47:11.303896
0028,c,2024-09-20 13:47:11.303896
0028,c,2024-09-20 13:47:11.303896
0028,b,2024-09-20 13:47:11.303896
0029,a,2024-09-21 13:47:11.303896
0029,c,2024-09-21 13:47:11.303896
0029,c,2024-09-21 13:47:11.303896
0029,b,2024-09-21 13:47:11.303896
0030,a,2024-09-22 13:47:11.303896
0030,c,2024-09-22 13:47:11.303896
0030,c,2024-09-22 13:47:11.303896
0030,b,2024-09-22 13:47:11.303896
0031,a,2024-09-23 13:47:11.303896
0031,c,2024-09-23 13:47:11.303896
0031,c,2024-09-23 13:47:11.303896
0031,c,2024-09-23 13:47:11.303896
0031,b,2024-09-23 13:47:11.303896
0032,a,2024-09-24 13:47:11.303896
0032,c,2024-09-24 13:47:11.303896
0032,c,2024-09-24 13:47:11.303896
0032,c,2024-09-24 13:47:11.303896
0032,b,2024-09-24 13:47:11.303896
0033,a,2024-09-25 13:47:11.303896
0033,c,2024-09-25 13:47:11.303896
0033,c,2024-09-25 13:47:11.303896
0033,c,2024-09-25 13:47:11.303896
0033,b,2024-09-25 13:47:11.303896
0034,a,2024-09-26 13:47:11.303896
0034,c,2024-09-26 13:47:11.303896
0034,c,2024-09-26 13:47:11.303896
0034,c,2024-09-26 13:47:11.303896
0034,b,2024-09-26 13:47:11.303896
0035,a,2024-09-27 13:47:11.303896
0035,c,2024-09-27 13:47:11.303896
0035,c,2024-09-27 13:47:11.303896
0035,c,2024-09-27 13:47:11.303896
0035,b,2024-09-27 13:47:11.303896
0036,a,2024-09-28 13:47:11.303896
0036,c,2024-09-28 13:47:11.303896
0036,c,2024-09-28 13:47:11.303896
0036,c,2024-09-28 13:47:11.303896
0036,b,2024-09-28 13:47:11.303896
