case_id,activity_name,timestamp
0001,a,2024-09-16 13:47:11.303896
0001,b,2024-09-16 13:47:11.303896
0002,a,2024-09-17 13:47:11.303896
0002,b,2024-09-17 13:47:11.303896
0003,a,2024-09-18 13:47:11.303896
0003,b,2024-09-18 13:47:11.303896
0004,a,2024-09-19 13:47:11.303896
0004,b,2024-09-19 13:47:11.303896
0005,a,2024-09-20 13:47:11.303896
0005,b,2024-09-20 13:47:11.303896
0006,a,2024-09-21 13:47:11.303896
0006,b,2024-09-21 13:47:11.303896
0007,a,2024-09-22 13:47:11.303896
0007,b,2024-09-22 13:47:11.303896
0008,a,2024-09-23 13:47:11.303896
0008,b,2024-09-23 13:47:11.303896
0009,a,2024-09-24 13:47:11.303896
0009,b,2024-09-24 13:47:11.303896
0010,a,2024-09-25 13:47:11.303896
0010,b,2024-09-25 13:47:11.303896
0011,a,2024-09-26 13:47:11.303896
0011,b,2024-09-26 13:47:11.303896
0012,a,2024-09-27 13:47:11.303896
0012,b,2024-09-27 13:47:11.303896
0013,a,2024-09-28 13:47:11.303896
0013,b,2024-09-28 13:47:11.303896
0014,a,2024-09-29 13:47:11.303896
0014,b,2024-09-29 13:47:11.303896
0015,a,2024-09-30 13:47:11.303896
0015,b,2024-09-30 13:47:11.303896
0016,a,2024-10-01 13:47:11.303896
0016,b,2024-10-01 13:47:11.303896
0017,a,2024-10-02 13:47:11.303896
0017,b,2024-10-02 13:47:11.303896
0018,a,2024-10-03 13:47:11.303896
0018,b,2024-10-03 13:47:11.303896
0019,a,2024-10-04 13:47:11.303896
0019,b,2024-10-04 13:47:11.303896
0020,a,2024-10-05 13:47:11.303896
0020,b,2024-10-05 13:47:11.303896
0021,a,2024-10-06 13:47:11.303896
0021,b,2024-10-06 13:47:11.303896
0022,a,2024-10-07 13:47:11.303896
0022,b,2024-10-07 13:47:11.303896
0023,a,2024-10-08 13:47:11.303896
0023,b,2024-10-08 13:47:11.303896
0024,a,2024-10-09 13:47:11.303896
0024,b,2024-10-09 13:47:11.303896
0025,a,2024-10-10 13:47:11.303896
0025,b,2024-10-10 13:47:11.303896
0026,a,2024-10-11 13:47:11.303896
0026,b,2024-10-11 13:47:11.303896
0027,a,2024-10-12 13:47:11.303896
0027,b,2024-10-12 13:47:11.303896
0028,a,2024-10-13 13:47:11.303896
0028,b,2024-10-13 13:47:11.303896
0029,a,2024-10-14 13:47:11.303896
0029,b,2024-10-14 13:47:11.303896
0030,a,2024-10-15 13:47:11.303896
0030,b,2024-10-15 13:47:11.303896
0031,a,2024-10-16 13:47:11.303896
0031,b,2024-10-16 13:47:11.303896
0032,a,2024-10-17 13:47:11.303896
0032,b,2024-10-17 13:47:11.303896
0033,a,2024-10-18 13:47:11.303896
0033,b,2024-10-18 13:47:11.303896
0034,a,2024-10-19 13:47:11.303896
0034,b,2024-10-19 13:47:11.303896
0035,a,2024-10-20 13:47:11.303896
0035,b,2024-10-20 13:47:11.303896
0036,b,2024-10-21 13:47:11.303896
0036,a,2024-10-21 13:47:11.303896
0037,b,2024-10-22 13:47:11.303896
0037,a,2024-10-22 13:47:11.303896
0038,b,2024-10-23 13:47:11.303896
0038,a,2024-10-23 13:47:11.303896
0039,b,2024-10-24 13:47:11.303896
0039,a,2024-10-24 13:47:11.303896
0040,b,2024-10-25 13:47:11.303896
0040,a,2024-10-25 13:47:11.303896
0041,b,2024-10-26 13:47:11.303896
0041,a,2024-10-26 13:47:11.303896
0042,b,2024-10-27 13:47:11.303896
0042,a,2024-10-27 13:47:11.303896
0043,b,2024-10-28 13:47:11.303896
0043,a,2024-10-28 13:47:11.303896
0044,b,2024-10-29 13:47:11.303896
0044,a,2024-10-29 13:47:11.303896
0045,b,2024-10-30 13:47:11.303896
0045,a,2024-10-30 13:47:11.303896
0046,b,2024-10-31 13:47:11.303896
0046,a,2024-10-31 13:47:11.303896
0047,b,2024-11-01 13:47:11.303896
0047,a,2024-11-01 13:47:11.303896
0048,b,2024-11-02 13:47:11.303896
0048,a,2024-11-02 13:47:11.303896
0049,b,2024-11-03 13:47:11.303896
0049,a,2024-11-03 13:47:11.303896
0050,b,2024-11-04 13:47:11.303896
0050,a,2024-11-04 13:47:11.303896
