case_id,activity_name,timestamp
0001,a,2024-08-17 13:47:11.303896
0001,b,2024-08-17 13:47:11.303896
0001,c,2024-08-17 13:47:11.303896
0001,d,2024-08-17 13:47:11.303896
0002,a,2024-08-18 13:47:11.303896
0002,b,2024-08-18 13:47:11.303896
0002,c,2024-08-18 13:47:11.303896
0002,d,2024-08-18 13:47:11.303896
0003,a,2024-08-19 13:47:11.303896
0003,b,2024-08-19 13:47:11.303896
0003,c,2024-08-19 13:47:11.303896
0003,d,2024-08-19 13:47:11.303896
0004,a,2024-08-20 13:47:11.303896
0004,c,2024-08-20 13:47:11.303896
0004,b,2024-08-20 13:47:11.303896
0004,d,2024-08-20 13:47:11.303896
0005,a,2024-08-21 13:47:11.303896
0005,c,2024-08-21 13:47:11.303896
0005,b,2024-08-21 13:47:11.303896
0005,d,2024-08-21 13:47:11.303896
0006,a,2024-08-22 13:47:11.303896
0006,e,2024-08-22 13:47:11.303896
0006,d,2024-08-22 13:47:11.303896
